qfe,aus,nzl,xoc,chn,hkg,jpn,kor,mng,twn,xea,brn,khm,idn,lao,mys,phl,sgp,tha,vnm,xse,bgd,ind,npl,pak,lka,xsa,can,usa,mex,xna,arg,bol,bra,chl,col,ecu,pry,per,ury,ven,xsm,cri,gtm,hnd,nic,pan,slv,xca,dom,jam,pri,tto,xcb,aut,bel,cyp,cze,dnk,est,fin,fra,deu,grc,hun,irl,ita,lva,ltu,lux,mlt,nld,pol,prt,svk,svn,esp,swe,gbr,che,nor,xef,alb,bgr,blr,hrv,rou,rus,ukr,xee,xer,kaz,kgz,xsu,arm,aze,geo,bhr,irn,isr,jor,kwt,omn,qat,sau,tur,are,xws,egy,mar,tun,xnf,bfa,cmr,civ,gha,gin,nga,sen,tgo,xwf,xcf,xac,eth,ken,mdg,mwi,mus,moz,rwa,tza,uga,zmb,zwe,xec,bwa,nam,zaf,xsc,xtw
pdr,0.803287,1.331064,6.790879,1.812703,0.863841,0.752968,1.339787,2.087901,1.096722,1.260148,1.693667,0.236717,-0.410643,0.201677,0.862975,0.50457,0.567008,0.144145,0.5687,-0.0041,0.295225,0.656391,1.136445,1.032057,0.00018,0.30579,1.066089,1.277399,1.460665,1.365697,0.052944,0.447983,1.123615,0.919129,0.222562,-0.138142,1.057126,-0.187652,0.463473,-0.17934,0.371854,1.611064,2.923789,2.131848,0.561604,0.522795,1.482691,-1.200757,1.034085,-0.214685,0.641954,0.083861,-0.229694,1.758692,-0.694494,2.694735,2.188837,-1.175209,0.086732,2.199102,-1.922296,0.160425,1.739808,0.321776,0.999638,0.770764,1.719855,3.630866,1.573728,2.389357,-0.394995,0.222897,0.719983,-0.261909,1.534111,0.445415,0.214804,-1.185737,0.454511,1.693093,2.067021,0.209327,0.141502,2.75212,1.296453,0.327271,2.486026,2.298541,2.498087,1.297111,2.269371,2.480156,2.966698,-0.130776,1.579025,1.646834,0.814071,1.067678,1.827,-0.226399,2.378771,0.847909,0.928825,4.424092,1.429307,6.874526,0.034731,0.269939,0.324956,1.59939,0.716118,-3.04584,0.67459,0.938835,0.890832,0.592778,-0.614946,-1.022907,0.499243,0.597763,-0.133134,-1.115153,1.561401,-2.317368,0.218349,-0.466448,0.988466,0.375143,-1.126685,-0.235774,0.513938,-0.313246,1.87948,-0.239294,0.572961,1.506588,0.822312,0.893963,0.633294
wht,4.845442,0.57326,6.443107,2.125576,3.075352,2.73029,1.558469,3.635489,1.353281,3.321653,33.860365,6.650945,4.091702,3.258822,29.324717,2.421161,6.45431,3.467883,10.813198,35.912591,4.440571,-0.124541,0.996118,1.145496,3.58405,0.734295,-6.399087,2.760431,7.758639,0.840645,1.413317,0.597913,9.797883,2.342119,9.903384,5.173429,8.673893,2.527855,4.183828,7.2914,8.55144,10.197617,9.512722,1.087258,13.393074,29.043738,7.84953,4.40284,28.755193,6.988595,6.647388,11.684386,2.646321,3.343298,1.427376,8.542369,2.559136,2.92997,0.826798,1.958488,2.362139,1.943058,5.689037,2.576569,3.768652,3.774309,-0.611024,1.400002,1.292113,7.266544,-0.119812,3.263835,6.587031,3.703039,2.497014,3.916148,1.495605,3.116617,1.253239,1.962978,4.506679,2.927683,7.886185,4.776804,3.327832,1.146673,-1.026188,0.767393,2.245831,2.234767,3.012189,3.075569,3.907513,3.367079,2.994279,4.161385,4.210098,1.269511,9.854456,6.474845,2.407766,5.079803,1.775993,1.207711,3.034356,8.896775,1.885119,3.664816,2.183189,1.156696,0.375551,1.203045,3.238946,15.841493,7.974955,12.55755,-3.161036,11.642946,22.126059,12.681005,13.272448,6.602493,4.54812,12.443856,2.142846,1.035709,-0.294112,-1.185368,7.353566,13.75187,5.303012,-0.692973,3.928282,4.555485,3.509009,8.368265,4.019324,5.603619,6.441388
gro,-0.896837,0.240225,0.898378,0.612984,0.488823,-0.499747,-0.300604,-0.128846,0.633273,1.274119,1.599315,1.053046,0.824743,0.866345,0.992417,1.119173,0.894815,0.47455,0.918694,0.910593,-0.089239,0.588484,0.698243,0.262236,1.086109,0.436238,0.320879,-0.298359,0.311759,-0.135285,0.31278,0.625843,0.622821,-0.380679,0.995367,1.482667,0.630061,0.483782,0.245527,0.636191,-0.031185,0.915917,0.684185,1.330042,1.248091,0.322668,0.802987,-1.615825,0.227145,0.591092,-0.659243,-1.114135,-0.27638,-0.327303,-0.596303,-0.551351,-0.683703,-0.730816,-0.506261,-0.098507,-0.706133,-0.697983,-0.178758,-0.455584,-0.219713,-0.347339,-0.505361,-0.187554,-0.665042,0.193152,-1.116979,-0.445543,-0.067963,-0.316894,-0.242355,-0.299397,-1.023293,-0.442971,0.187624,-0.494646,-0.011169,-0.111199,-0.252979,-0.35011,-0.085922,0.085554,0.445647,0.053798,-0.112989,-0.208622,-0.408772,0.167888,-0.07474,-0.120665,-0.197133,0.252589,0.575676,0.141172,-0.266182,0.068641,0.953875,0.565165,0.317668,-0.121124,-0.050015,0.128741,0.098943,-0.383986,-0.463383,-0.835999,-0.425854,2.168408,0.637236,2.280011,1.761737,1.666329,0.58569,0.995471,2.184195,1.72567,1.102166,0.893906,0.737326,0.705206,0.842883,0.473035,0.719066,0.482343,0.418561,0.644248,0.796329,0.451657,0.446471,0.532691,0.736513,0.792498,0.374918,0.197062,0.12495
v_f,-0.75617,0.822454,0.845497,-0.537966,-0.554637,-0.96637,-0.602899,-0.248573,0.268034,0.377199,-0.251991,0.279382,0.631227,0.3377,-0.041506,-0.28953,-1.934333,0.154101,-0.153686,0.544982,-0.267384,0.345536,-0.736081,-0.268874,0.550942,0.083029,2.42766,-0.422182,-0.223589,-1.011888,-0.001825,0.260229,0.222801,0.263741,0.993722,-0.44893,1.084241,0.020326,0.330824,0.873625,-0.270183,-0.548155,0.166014,0.587916,0.955932,-2.19458,0.854501,-5.306606,0.055661,0.039119,-0.576246,-1.687709,0.042044,0.091467,-0.493345,-0.868814,-0.440982,0.142236,-0.605815,-0.534354,-0.35716,-0.030312,-0.377863,0.264701,0.835184,-0.52349,-0.033037,0.151254,0.011346,0.044463,-0.474995,-0.054313,-0.095782,-0.245162,-0.487643,-0.244925,-0.218178,0.413759,-0.377422,0.307355,-0.115416,-0.032472,-0.967343,-0.568187,-0.849333,-0.300869,-0.029167,-0.427157,-0.338648,-0.404473,-1.166735,-0.148478,-0.348787,-0.616433,-0.454188,0.035696,-0.486915,0.03176,0.111421,0.232328,0.460967,-0.025534,-0.10221,0.310149,-0.454705,0.302794,-0.004794,-0.423929,-0.530703,0.164348,0.184124,0.412171,0.406094,1.290341,1.315017,0.538411,0.578602,0.224156,1.092528,0.211994,0.710498,0.241977,0.331711,0.250593,0.156295,0.332278,0.880376,0.149821,0.123213,0.265577,0.643039,0.33001,-0.091121,0.165696,0.563687,0.376517,0.135043,0.145922,-0.066264
osd,-2.143566,2.382454,-1.030587,-0.044862,-2.709487,-1.477115,-0.934057,5.114696,-2.32693,-2.948726,0.454303,0.238067,-0.355246,0.067091,-0.050442,0.223165,-1.790343,-1.461906,-1.421864,0.096742,-0.490304,0.06547,0.089231,-0.268238,0.26458,-0.251841,2.362033,0.040594,-2.289701,-0.871503,-0.129544,-0.534,-0.931776,-0.721711,0.968349,1.202055,-1.252929,0.475039,-0.594004,-1.669857,-0.733164,-0.550343,-0.06583,0.214541,-2.549643,0.259586,1.356998,-1.452593,0.204999,1.230914,-2.821809,-2.880878,-0.765468,0.910448,0.563273,0.302062,-0.258148,0.944096,-0.268183,0.742895,-0.102976,0.017565,0.459461,-0.365157,0.920564,0.16556,0.840272,0.170379,1.173497,-0.284273,-0.665892,-0.147643,0.792894,0.088646,0.12158,0.255849,0.231059,0.549893,1.532669,1.491071,0.947911,0.017219,0.963021,-0.7761,-0.452943,0.462084,1.216693,0.826368,0.160128,-0.342716,-0.088374,-0.393484,0.560441,-1.141987,-1.116519,2.422896,6.024516,-0.083372,-0.476992,0.489375,1.800812,0.059212,2.377239,0.351166,0.328489,0.713813,-0.219143,-1.500097,-0.757686,-1.797652,0.443045,-4.927359,0.61237,3.232616,1.248506,1.403475,-0.233504,0.587611,-1.46843,-0.45993,0.604593,0.445824,-3.305413,0.394199,0.462071,0.529224,-2.881647,-0.929781,0.092788,-0.290218,-0.724354,0.399138,0.661457,-1.354041,0.643695,0.604684,0.464654,0.500225,-0.451955
c_b,-0.051175,0.0674,1.594751,-0.410911,-0.367417,-1.040744,0.548544,-0.463689,-0.023027,1.368466,0.114091,0.562118,0.14159,0.641492,-0.141708,0.58156,0.971354,1.287585,0.991081,0.895357,0.341991,0.539267,-1.140108,0.071122,-0.58598,0.331664,-1.032396,-0.856892,0.810498,-0.967368,0.108811,1.73932,0.468201,-0.665598,1.833699,1.089845,0.857944,0.947348,0.788268,0.690783,0.164621,1.858638,0.998337,1.220567,1.475562,1.472163,1.464757,-0.851375,0.835616,-3.172639,0.792787,0.349542,0.269779,-0.724049,-1.053466,0.777689,-0.780772,-0.785256,-0.959478,-0.367509,-0.719079,-0.742737,0.261605,-0.61347,-0.300789,-0.224622,-0.592695,-0.402806,-0.143261,0.374631,-1.258515,-0.562837,1.547128,-0.666456,-0.167653,0.156741,-1.383217,0.171921,-0.218137,-0.259068,-0.338423,0.034253,0.003946,0.799407,-0.527824,0.332985,-0.361698,-0.437993,-0.310907,-0.218727,-0.952491,1.634196,-0.350366,-0.82486,-0.613516,-0.111832,0.791115,-0.193676,0.420411,0.210841,1.686834,0.05209,1.082576,2.141172,-0.693041,2.214727,1.229658,-0.336007,-0.551918,0.765849,1.000166,1.90706,0.644132,1.586896,1.26715,1.922866,0.498543,1.387431,1.576128,1.077032,-0.047923,0.50107,0.600408,-0.027066,1.022097,0.353418,-1.419924,1.428733,0.833604,0.989584,-1.110048,0.644643,0.010563,-0.181076,0.621122,0.594855,0.366363,0.026145,0.269824
pfb,-1.311612,-0.074424,0.348794,0.024471,-2.109895,-0.331943,-0.130476,0.701068,-1.401985,-1.763963,-1.385648,0.721072,-1.640761,0.121073,-0.53096,-0.074388,-1.933276,-1.638847,-1.200361,0.412021,-0.153677,-0.550934,-0.956628,-1.214983,-12.267425,-0.060701,-0.53045,0.679492,-0.712921,-0.44957,0.185087,1.02818,-0.460329,-0.805371,-0.408476,0.022838,-0.124211,-0.658972,0.624117,0.595047,0.152485,0.81325,-1.091483,1.479606,1.121531,0.806177,-1.403259,-1.941828,-0.481994,-0.045745,-1.364937,-1.038639,0.082994,0.052859,-0.007347,0.044403,-0.884972,-0.146004,-0.936371,0.80151,-0.150527,1.638319,-0.490199,-0.315719,2.563867,0.618351,0.707513,-0.183767,0.747558,-0.006208,-1.096302,-0.512953,0.53814,-0.838767,1.187966,0.469668,0.912306,1.751368,0.668793,-0.430473,2.05882,1.255566,-1.392496,-0.498465,0.823852,-0.102726,2.384425,-0.332088,-0.644788,-0.137615,-0.123327,0.382584,1.032458,-0.804062,-0.467849,0.175818,0.061042,-0.150882,0.088324,0.094858,1.499353,-0.668332,0.798432,1.05121,0.240273,0.126456,-0.16415,-0.32511,-0.541378,-0.130293,0.452627,-4.851576,-3.870943,1.499702,-0.213644,1.326499,-6.63264,-0.729594,-1.14082,-3.691001,-2.630654,0.656154,-0.220256,-15.219882,0.624841,-1.320014,-5.181631,-0.856176,1.192992,-1.952899,-1.236582,-0.380629,-0.559374,-0.36725,0.118412,-1.456276,0.374272,0.115292,0.370658
ocr,-0.610495,6.358064,-1.298176,2.404474,-2.725383,-0.167979,-0.30332,10.167793,-1.055225,0.427109,-0.711219,-0.152621,-0.159601,-0.086383,0.877077,0.046238,-3.326472,-0.326586,-0.619979,0.491429,-0.045364,0.32254,-0.342826,-0.727508,-0.378748,0.333163,2.993564,0.922953,0.040943,-0.016072,0.569845,0.621004,0.207133,2.177861,-1.799769,0.566933,0.327807,-0.387761,0.888323,0.937036,0.153408,0.231809,-0.60562,-0.372413,-1.336351,0.922863,-1.889164,-3.567388,-0.937238,0.002756,-2.058312,-0.412502,0.185142,0.297918,2.445908,0.052774,-0.039455,1.680912,3.224145,1.884641,0.318841,1.17611,1.079479,-0.075781,0.298882,0.550447,2.360552,-0.257763,1.33403,0.064945,2.868497,0.536566,0.378757,-0.180044,0.235953,0.62493,0.477746,2.293986,1.172831,0.595013,1.030362,0.222846,0.18812,-0.298673,2.027855,-0.140826,4.782722,1.639415,1.650749,1.443251,-0.022862,2.146778,0.663393,-0.033336,-0.174728,1.110491,-1.616399,0.198568,1.43438,0.92005,-0.21553,-1.005255,-0.556871,2.094231,2.536951,-1.29881,1.329118,-1.047483,-0.103212,0.731109,1.362328,0.315641,-2.31023,-2.150039,-5.407043,-5.491594,-3.04636,-2.038702,-2.824666,-1.955677,-2.060485,0.363697,-1.176508,-0.682724,-0.266946,-0.484742,0.461659,-1.273595,-1.296396,-0.518591,-1.137477,0.048032,0.269221,-1.253065,0.388361,-2.073698,1.343769,0.236553,1.575177
ctl,-1.667303,-0.253732,-0.1321,-0.427677,-0.780198,-0.865672,-0.59506,-0.446431,-0.888026,-0.235772,0.131743,-0.655067,-1.014214,-0.928494,-0.416304,-0.917733,-1.846166,-0.886323,-0.5639,-0.918786,-0.809477,-0.029461,-0.41872,-0.952238,-0.510599,-0.807503,-0.073819,-1.075371,-0.646398,-0.943614,-0.586844,-0.570371,-0.533426,-0.823097,-0.153611,-0.620157,-0.052498,-0.745742,-0.526939,-0.852313,-0.666923,0.576413,-0.485468,0.030095,0.421637,-0.299799,-0.585684,-1.714166,-0.186237,-0.210593,-1.092254,-0.243418,-0.877424,-0.478186,-1.441221,-0.386758,-0.976919,-0.629629,-1.736367,-0.447075,-1.080773,-0.693517,-0.697268,-0.752031,-0.125668,-0.743614,0.006261,-0.499692,-0.798324,-0.213839,-1.726015,-0.654262,-0.552736,-0.628666,-0.614745,-0.806872,-0.983101,-0.772437,-0.638307,-0.30245,-0.359098,-0.602097,-0.831276,-0.278633,-0.428319,-0.335075,0.286965,-0.382302,-0.555151,-0.342643,-1.095556,-0.320353,-0.332312,-0.870678,-0.871502,-0.305325,-1.531397,-0.84383,-1.066765,-0.610558,-0.318289,-1.048864,-1.236295,-0.805093,-0.577939,-1.210928,-0.825611,-1.442926,-1.145778,-1.038768,-0.993175,0.129599,-0.928208,0.686577,-0.002841,-0.163869,-1.183425,-0.338615,0.219687,0.011617,-0.516968,-1.199872,-1.043317,-1.330526,-0.445759,-0.966525,-0.845179,-0.83568,-1.134057,-0.968736,-1.04988,-0.982969,-0.861312,-1.153228,-0.450568,-0.384137,-0.750186,-0.727044,-0.588694
oap,-1.547432,-0.120288,-0.563035,-0.475914,-0.970522,-1.095188,-0.855764,-0.428415,-0.92102,-0.207807,-0.049569,-0.622998,-0.930654,-1.00664,-0.480269,-0.538805,-0.443842,-0.827037,-0.621197,-0.992291,-1.356301,-0.948147,-0.539629,-1.135895,-0.812461,-0.804193,-0.167087,-0.886543,-0.671517,-0.908704,-0.790443,-0.589538,-0.404219,-1.173826,-0.120434,-0.656455,-0.1855,-0.870135,-0.390074,-1.175251,-0.692182,0.369875,-0.486396,0.04111,-0.120121,-0.351261,-0.500179,-2.764637,-0.276936,-0.301971,-0.995201,-0.421659,-1.228021,-0.683023,-1.343368,-0.316175,-0.772231,-1.103209,-1.290853,-0.090108,-1.208628,-1.336134,-0.647733,-0.61736,-0.038729,-0.660659,-0.462595,-0.245121,-0.270296,-0.389928,-1.745381,-0.710741,-0.555761,-0.547019,-0.47078,-0.806103,-1.014566,-1.213719,-0.545886,-0.128512,-0.152189,-0.720816,-0.879917,-0.377791,-0.553993,-0.188364,0.214072,-0.379339,-0.267475,-0.360762,-1.06956,-0.307888,-0.369691,-1.171416,-0.863248,-0.347197,-1.315362,-0.786126,-0.799517,-0.821761,-0.532265,-0.854646,-1.153629,-0.675841,-0.667273,-1.627467,-0.864856,-1.499199,-1.182648,-0.928015,-0.89577,0.03819,-1.170823,0.072007,-0.341687,-0.060164,-2.022351,-0.413661,0.242232,-0.780372,-0.643638,-1.371038,-1.106599,-6.917133,-0.429399,-0.769876,-0.218093,-0.944421,-1.318837,-0.916068,-0.778954,-0.93419,-0.853011,-1.159437,-0.227218,-0.366541,-0.689544,-0.847336,-0.60505
rmk,-1.187716,-0.50584,-0.036344,-0.476405,-0.199239,-1.007515,-0.627504,0.239941,-1.046501,-0.07887,-1.051996,-1.039504,-1.006811,-0.316246,-0.611807,-0.74405,-1.212614,-0.938835,-0.979153,-0.410528,-0.810277,-0.819887,-0.284426,-0.95814,-0.432162,-0.937032,-0.541561,-1.054101,-0.474801,-1.121912,-0.610558,-0.585654,-0.518397,-0.803268,-0.105338,-0.644604,-0.136634,-0.729782,-0.412004,-0.898551,-0.650017,0.528371,-0.456714,-0.01862,-0.568392,-0.373166,-0.378939,-2.615764,-0.352558,-0.114109,-0.669269,-0.313111,-1.379618,-0.77192,-1.388754,-0.347832,-0.699402,-0.877878,-1.080186,-0.521419,-1.219702,-0.987158,-0.717531,-0.565863,-0.439397,-0.786252,-0.343188,-0.249787,-0.501628,-0.443522,-1.740535,-0.525609,-0.629068,-0.468702,-0.489271,-0.784824,-1.090239,-0.754258,-0.600557,-0.294906,-0.513701,-0.624907,-0.931882,-0.454999,-0.504944,-0.376692,0.128487,-0.306456,-0.188623,-0.404133,-1.065946,-0.324467,-0.300862,-0.529323,-0.960755,-0.111397,-1.080375,-0.85249,-0.927384,-0.841883,-0.874292,-0.453529,-0.753977,-1.900755,-0.613745,-0.817081,-0.698145,-1.171378,-1.031985,-1.110613,-1.025088,0.109329,-7.201823,1.06825,0.844206,-0.051958,-3.218731,-0.993332,1.240979,-0.131778,-0.223927,-0.9511,-1.099238,-1.287966,-0.44907,-0.234256,-2.964753,-0.850295,-1.580032,-0.887251,-1.107702,-1.017632,-0.914727,-1.138369,-0.479964,-0.423463,-0.753845,-0.694988,-0.688191
wol,-0.044803,0.582627,0.100136,-1.305803,0.246184,-0.907237,-0.978453,1.246928,-1.967221,-0.563861,0.279145,-1.036566,-1.007438,-0.226158,-1.909843,-0.710532,-0.637163,-1.037379,-0.510812,3.083039,0.162137,-1.164418,-0.447471,-2.758019,-14.235096,0.230209,-0.140812,-2.026185,-0.728062,-1.524262,-0.618847,-0.607491,-0.419978,-0.958047,0.503929,-0.400907,-0.138761,-0.895335,-0.295767,-1.070959,-2.393898,0.888902,0.625661,0.389918,-0.409739,0.110875,-0.050407,-1.897369,-0.936038,0.334823,-1.315691,-1.826726,-1.167921,1.071991,5.457441,2.304875,3.218418,0.819067,-0.564817,2.655039,1.591935,1.470262,1.291497,-0.876061,3.468326,4.476041,0.265697,0.286744,1.527026,1.319644,1.540757,0.28494,0.858653,1.471056,0.098865,6.213457,1.684406,2.79776,-0.2953,0.470986,1.501709,-1.254917,-0.818734,-0.554528,-0.946832,0.428028,0.439036,-0.227413,-0.596656,-0.611294,-0.912829,0.097251,-0.215104,0.068954,-0.855062,-0.186074,1.762104,-0.689136,-6.793887,-0.458781,6.988593,0.833215,6.221556,4.235275,-0.508177,4.194656,-0.860257,-1.115506,-1.160201,-0.435655,-0.601459,-0.47948,-9.386968,0.470165,6.218055,-1.233598,-4.328882,0.12855,-0.144801,-1.471937,-0.587172,-0.99303,-1.641613,-22.933752,-0.174563,-1.715001,-7.676089,-4.53379,-0.416437,-3.365014,1.567738,-3.389176,-0.816129,-1.317853,0.472207,-0.221589,0.978461,1.405314,-0.276601
frs,-0.939646,-0.158818,0.126595,-0.488948,-0.995681,-0.850959,-0.713043,-0.296178,-1.482556,-0.571705,-3.873131,-0.59538,-1.726706,-1.643026,-1.305375,-0.987982,-1.052565,-1.291968,-1.400858,-1.899897,-1.423322,-1.230363,-0.383202,-0.923258,-1.468254,-0.606709,-0.316437,-0.76693,-0.328596,-0.85191,-0.37954,-0.293882,-0.28474,-0.669835,-0.256964,-0.480814,-0.438771,-0.674531,-0.24835,-0.721712,-0.165549,0.436308,-0.374682,-1.068898,-0.703821,-1.193305,-0.441705,-3.619529,-0.515244,-0.619752,-1.103675,-1.708802,-1.46515,-0.597497,-0.883966,-0.300644,-0.509905,-0.625475,-0.521287,-0.353641,-0.822277,-0.641164,-0.449877,-0.461733,-0.310923,-0.549095,-0.283024,-0.214888,-0.600648,-0.04867,-1.074428,-0.428004,-0.361787,-0.455207,-0.466568,-0.472137,-0.830995,-0.357849,-0.41834,-0.046919,-0.629727,-0.226226,-0.708672,-0.308827,-0.254916,-0.146426,0.482078,-0.289553,-0.299638,-0.218266,-0.381407,-0.248259,-0.040133,-0.664827,-0.712223,-0.160866,1.929444,-0.607065,-0.690789,-0.61973,2.283959,-0.976294,1.142034,0.16647,-0.497618,1.212479,-0.681986,-0.7294,-0.861563,-0.26499,-0.277827,-0.191361,-0.589483,0.570372,-1.683675,0.059592,-3.909883,-0.65684,0.975672,0.057116,-0.734314,-0.668707,-0.804622,-0.646641,-0.448821,-0.359333,-0.771009,-0.601408,-1.164582,-0.463008,-0.655843,-0.758133,-0.746984,-1.2706,-0.523704,-0.437441,-0.685856,-0.710893,-0.548311
fsh,-1.346316,-0.541539,-0.279805,-0.496727,-0.747356,-1.009527,-0.776623,-0.416846,-0.850167,-0.405594,-0.832762,-0.919762,-1.159738,-1.757193,-0.400546,-0.818511,-0.513067,-1.204805,-0.77674,-1.584883,-1.908773,-0.969596,-0.537669,-1.256756,-0.854775,-0.989502,-0.610703,-0.922262,-0.566045,-0.805556,-0.634926,-0.760827,-0.622837,-0.809558,-0.378622,-0.548823,-0.288079,-0.797052,-0.559321,-1.036829,-0.769375,-0.027149,-0.551431,-1.013979,0.243161,-0.794234,-0.518684,-2.926189,-0.583476,-0.486563,-0.97312,-0.503215,-1.214729,-0.759799,-1.255229,-0.504428,-0.705945,-0.793283,-0.868183,-0.474378,-1.017333,-0.84547,-0.504072,-0.645563,-0.517865,-0.709967,-0.39459,-0.344048,-0.895321,-0.58117,-1.288116,-0.555737,-0.540398,-0.564925,-0.773463,-0.64137,-0.996703,-0.589846,-0.595051,-0.262692,-0.681428,-0.385726,-0.676166,-0.619147,-0.4437,-0.317687,0.155849,-0.351843,-0.251974,-0.473383,-1.010307,-0.328264,-0.408807,-0.670403,-0.873713,-0.271919,-1.558718,-0.804736,-0.914939,-0.952372,-0.442762,-1.197046,-1.202621,-0.869343,-0.543471,-1.032106,-0.881625,-1.433662,-0.954046,-0.875308,-0.915927,-0.886654,-1.42497,-1.823631,-1.139243,-0.845901,-2.354332,-0.552679,-1.759182,-0.986451,-0.672351,-1.291137,-1.310426,-1.200998,-0.967559,-1.683285,-0.213986,-1.354736,-1.708549,-0.752872,-1.179014,-1.215763,-0.987042,-1.803761,-0.495656,-0.320877,-0.704962,-0.717038,-0.714155
