2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfe,pdr,wht,gro,v_f,osd,c_b,pfb,ocr,ctl,oap,rmk,wol,frs,fsh,coa,oil,gas,omn,cmt,omt,vol,mil,pcr,sgr,ofd,b_t,tex,wap,lea,lum,ppp,p_c,crp,nmm,i_s,nfm,fmp,mvh,otn,ele,ome,omf,ely,gdt,wtr,cns,trd,otp,wtp,atp,cmn,ofi,isr,obs,ros,osg,dwe,cgds
land,-0.006094,-1.360235,0.109235,0.064401,-0.27117,0.158053,0.086303,-0.030232,-0.126795,-0.117761,-0.061526,-0.105772,0.066893,-0.087799,-0.104436,-0.008371,-0.266572,-0.236345,0.061839,0.204168,-0.028362,0.089431,0.026123,0.026529,0.140868,0.053853,0.173189,0.159755,0.240469,0.212229,0.099366,0.048665,0.110831,-0.118473,0.097321,0.025875,0.197842,-0.077199,0.062141,0.255961,0.256321,0.184053,0.056661,0.068013,0.071715,-0.272039,-0.005357,0.070528,-0.057786,0.009588,0.041459,0.123316,0.159388,0.07082,0.023483,-0.008071,-0.095515,-0.506417
unsklab,0.437272,-1.27928,0.583752,0.526803,0.100767,0.645769,0.554622,0.40662,0.284017,0.295485,0.366883,0.310706,0.574781,0.388238,0.112089,0.227627,-0.082865,-0.046524,-0.036849,0.264831,-0.227789,0.021597,-0.112476,-0.111618,0.130603,-0.053762,0.161605,0.131249,0.313705,0.249846,-0.005137,-0.119567,0.020747,-0.496266,-0.009755,-0.170979,0.217323,-0.403316,-0.08916,0.348746,0.349559,0.186156,-0.101525,-0.075908,-0.067554,-0.940605,-0.31629,-0.113423,-0.456301,-0.276357,-0.092972,0.091871,0.173387,-0.026694,-0.13354,-0.204724,-0.401852,-1.124086
sklab,0.460816,-1.256138,0.607331,0.550368,0.124232,0.669362,0.578194,0.430157,0.307525,0.318996,0.390411,0.33422,0.592621,0.406045,0.129846,0.245406,-0.065142,-0.028794,0.062486,0.364466,-0.128644,0.120991,-0.013216,-0.012357,0.230104,0.045556,0.273586,0.243197,0.425856,0.361926,0.106657,-0.0079,0.13257,-0.38502,0.102035,-0.059369,0.329366,-0.291966,0.022541,0.460937,0.46175,0.298165,0.010162,0.035808,0.044171,-0.817543,-0.167667,0.035503,-0.307886,-0.127674,0.018725,0.203774,0.285382,0.085076,-0.021889,-0.093153,-0.2905,-1.036363
capital,-0.032981,-1.741496,0.112814,0.056131,-0.36791,0.17454,0.08382,-0.063489,-0.185518,-0.174104,-0.10304,-0.158955,0.061133,-0.124458,-0.144415,-0.029172,-0.338869,-0.302621,0.02393,0.325793,-0.167127,0.082411,-0.051743,-0.050885,0.191483,0.007006,0.270912,0.240524,0.423178,0.35925,0.103988,-0.010567,0.129901,-0.387676,0.099366,-0.062034,0.326691,-0.294625,0.019874,0.458258,0.459072,0.295491,0.007495,0.03314,0.041503,-0.784602,-0.1749,0.028255,-0.315109,-0.13491,-0.02684,0.158125,0.239696,0.039482,-0.067435,-0.138666,-0.335924,-1.10491
natres,0.000298,-0.006199,0.000848,0.000634,-0.000967,0.00108,0.000738,0.000183,-0.000277,-0.000234,0.000034,-0.000177,0.000726,-0.000197,-0.000297,0.000277,-0.001267,-0.001086,0.000445,0.000714,0.000275,0.000497,0.000378,0.000378,0.000595,0.00043,0.000638,0.000614,0.000759,0.000708,0.000506,0.000416,0.000527,0.000116,0.000503,0.000375,0.000683,0.00019,0.00044,0.000787,0.000787,0.000658,0.00043,0.00045,0.000457,-0.000138,0.00032,0.000441,0.000236,0.000344,0.000403,0.000549,0.000614,0.000455,0.00037,0.000314,0.000157,-0.000686
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfe,pdr,wht,gro,v_f,osd,c_b,pfb,ocr,ctl,oap,rmk,wol,frs,fsh,coa,oil,gas,omn,cmt,omt,vol,mil,pcr,sgr,ofd,b_t,tex,wap,lea,lum,ppp,p_c,crp,nmm,i_s,nfm,fmp,mvh,otn,ele,ome,omf,ely,gdt,wtr,cns,trd,otp,wtp,atp,cmn,ofi,isr,obs,ros,osg,dwe,cgds
land,0.070578,-3.554166,0.204892,0.050402,-0.50981,0.317427,-0.122948,-0.104381,-0.228358,-0.230464,-0.232477,-0.208753,-0.163111,-0.222864,-0.208407,-0.05944,-0.533404,-0.35468,0.12909,0.210921,0.007845,0.09976,0.104141,0.058471,0.178123,0.118015,0.217467,0.235318,0.324314,0.178726,0.138603,0.104465,0.122231,-0.077709,0.123066,0.029877,0.258313,-0.053056,0.090913,0.31514,0.287266,0.224709,0.079867,0.098177,0.102147,-0.200047,0.012721,0.132349,0.007276,0.074405,0.040668,0.120364,0.182738,0.078259,0.008088,-0.010799,-0.15398,-0.573445
unsklab,0.98473,-3.617583,1.156127,0.958989,0.244808,1.299777,0.737882,0.76156,0.603481,0.600798,0.59823,0.628476,0.796077,0.723688,0.22519,0.404754,-0.166374,0.048925,-0.06418,0.109046,-0.320551,-0.12623,-0.116963,-0.213545,0.039597,-0.087612,0.029535,0.069807,0.270719,-0.057834,-0.148275,-0.225188,-0.185164,-0.635077,-0.183285,-0.393124,0.121698,-0.579663,-0.255712,0.249998,0.187055,0.045872,-0.280588,-0.239351,-0.23041,-1.060059,-0.571943,-0.252893,-0.586448,-0.407509,-0.283134,-0.103515,0.037192,-0.198433,-0.356511,-0.399035,-0.721077,-1.372341
sklab,1.041421,-3.563475,1.212914,1.015666,0.301084,1.356645,0.794435,0.818125,0.659958,0.657273,0.654704,0.684967,0.838892,0.766473,0.267762,0.447403,-0.123968,0.091423,0.17377,0.347408,-0.083211,0.111573,0.120862,0.02405,0.277795,0.150282,0.29752,0.3379,0.53935,0.209918,0.119233,0.042115,0.082246,-0.368872,0.08413,-0.126271,0.38993,-0.313309,0.011509,0.518574,0.455462,0.313901,-0.013433,0.027913,0.036879,-0.765497,-0.21662,0.103571,-0.231176,-0.051598,-0.015987,0.164114,0.305198,0.068942,-0.08956,-0.132198,-0.455103,-1.162693
capital,0.03673,-4.522378,0.206518,0.011231,-0.696246,0.34882,-0.2078,-0.184345,-0.340939,-0.343598,-0.346141,-0.316179,-0.235324,-0.306972,-0.289638,-0.110996,-0.67919,-0.464998,0.051137,0.224563,-0.205529,-0.010984,-0.001706,-0.098399,0.155035,0.027678,0.241064,0.281421,0.482758,0.153511,0.062878,-0.014197,0.025911,-0.424953,0.027794,-0.182489,0.333422,-0.369422,-0.044786,0.461994,0.398917,0.257436,-0.069714,-0.028391,-0.01943,-0.755686,-0.299018,0.020907,-0.313563,-0.134133,-0.158151,0.021694,0.162577,-0.073343,-0.231619,-0.274197,-0.596642,-1.339681
natres,0.001244,-0.016337,0.001883,0.001148,-0.001528,0.002418,0.000321,0.00041,-0.000182,-0.000192,-0.000202,-0.000088,-0.000068,-0.000426,-0.000339,0.000551,-0.002287,-0.001215,0.001154,0.001308,0.000925,0.001099,0.001107,0.001021,0.001247,0.001133,0.001299,0.001331,0.00149,0.00123,0.001158,0.001097,0.001129,0.000771,0.001131,0.000964,0.001372,0.000815,0.001073,0.001474,0.001424,0.001312,0.001053,0.001086,0.001093,0.000567,0.000931,0.001121,0.000922,0.001029,0.000983,0.001126,0.001237,0.00105,0.000925,0.000891,0.000634,-0.000239
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfe,pdr,wht,gro,v_f,osd,c_b,pfb,ocr,ctl,oap,rmk,wol,frs,fsh,coa,oil,gas,omn,cmt,omt,vol,mil,pcr,sgr,ofd,b_t,tex,wap,lea,lum,ppp,p_c,crp,nmm,i_s,nfm,fmp,mvh,otn,ele,ome,omf,ely,gdt,wtr,cns,trd,otp,wtp,atp,cmn,ofi,isr,obs,ros,osg,dwe,cgds
land,0.372501,-11.914264,0.583183,-0.000845,-1.469912,0.953128,-1.008223,-0.399102,-0.639729,-0.683323,-0.946706,-0.629625,-1.151929,-0.773076,-0.64602,-0.276406,-1.621309,-0.850926,0.448769,0.272285,0.203415,0.182653,0.469679,0.242087,0.376094,0.424715,0.43209,0.589704,0.694641,0.059176,0.338547,0.374902,0.205486,0.137756,0.252894,0.072836,0.536124,0.087489,0.241864,0.588245,0.436989,0.425533,0.219776,0.262907,0.272116,0.154758,0.142019,0.444098,0.340781,0.406296,0.084375,0.141618,0.312878,0.145768,-0.014151,0.017347,-0.323022,-0.792734
unsklab,3.206564,-12.499691,3.480528,2.721451,0.817255,3.961957,1.414891,2.204498,1.892418,1.835901,1.494577,1.905518,1.61206,2.079575,0.642592,1.092048,-0.541768,0.393567,-0.165934,-0.537426,-0.682195,-0.725816,-0.121872,-0.600916,-0.319001,-0.21661,-0.525079,-0.171917,0.063598,-1.357881,-0.734348,-0.653047,-1.031604,-1.182719,-0.925752,-1.327445,-0.292053,-1.294789,-0.950385,-0.17519,-0.514114,-0.539758,-0.999704,-0.903387,-0.882816,-1.503878,-1.583096,-0.785455,-1.058718,-0.885491,-1.04424,-0.916283,-0.532912,-0.907003,-1.26426,-1.193951,-1.952241,-2.348628
sklab,3.402821,-12.333301,3.677305,2.916785,1.008969,4.15965,1.607741,2.398849,2.086176,2.029552,1.687578,2.099301,1.75824,2.226426,0.787376,1.237479,-0.398687,0.537993,0.641011,0.266517,0.120577,0.076604,0.68543,0.202513,0.486707,0.589925,0.379924,0.736299,0.973957,-0.460454,0.168751,0.250792,-0.131209,-0.283699,-0.024393,-0.429741,0.615071,-0.396789,-0.049251,0.732997,0.39099,0.365112,-0.099018,-0.001826,0.018933,-0.507711,-0.387452,0.419879,0.143296,0.318628,-0.143959,-0.014839,0.37202,-0.005474,-0.365981,-0.295033,-1.060222,-1.644198
capital,0.264761,-14.993802,0.530916,-0.206524,-2.056442,0.998623,-1.475842,-0.708742,-1.011926,-1.066832,-1.398427,-0.999199,-1.534079,-1.08104,-0.929026,-0.486588,-2.094891,-1.174162,0.077768,-0.29463,-0.439754,-0.48348,0.121938,-0.358276,-0.075673,0.026968,-0.006044,0.34896,0.585704,-0.843191,-0.216405,-0.13468,-0.515212,-0.667116,-0.408807,-0.812596,0.228198,-0.779771,-0.43357,0.345671,0.004979,-0.020799,-0.483145,-0.386326,-0.365647,-0.715701,-0.922661,-0.119668,-0.394765,-0.220375,-0.786746,-0.658457,-0.274088,-0.649152,-1.007339,-0.936847,-1.697111,-2.342069
natres,0.005092,-0.057118,0.006091,0.003316,-0.003737,0.007841,-0.001509,0.001415,0.000262,0.000053,-0.001213,0.00031,-0.003601,-0.001317,-0.000553,0.001664,-0.006442,-0.001786,0.004177,0.003844,0.003714,0.003675,0.004216,0.003787,0.00404,0.004131,0.004103,0.004384,0.004571,0.003436,0.003936,0.004001,0.003698,0.003577,0.003783,0.003461,0.004289,0.003487,0.003763,0.004381,0.004112,0.004091,0.003724,0.003801,0.003817,0.003595,0.003557,0.004037,0.003873,0.003977,0.003481,0.003584,0.00389,0.003591,0.003305,0.003361,0.00275,0.001739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfe,pdr,wht,gro,v_f,osd,c_b,pfb,ocr,ctl,oap,rmk,wol,frs,fsh,coa,oil,gas,omn,cmt,omt,vol,mil,pcr,sgr,ofd,b_t,tex,wap,lea,lum,ppp,p_c,crp,nmm,i_s,nfm,fmp,mvh,otn,ele,ome,omf,ely,gdt,wtr,cns,trd,otp,wtp,atp,cmn,ofi,isr,obs,ros,osg,dwe,cgds
land,0.447418,-13.902561,0.676984,-0.012846,-1.711114,1.112166,-1.238977,-0.473129,-0.743755,-0.797117,-1.131178,-0.737001,-1.414256,-0.91289,-0.760223,-0.333184,-1.896537,-0.97991,0.539575,0.294901,0.263501,0.212239,0.572638,0.299767,0.435721,0.512018,0.494247,0.689836,0.795246,0.031513,0.39783,0.45249,0.234585,0.20249,0.291561,0.089753,0.613493,0.131869,0.287272,0.664699,0.480441,0.484271,0.264771,0.313531,0.324848,0.257055,0.186321,0.535749,0.439479,0.50457,0.105298,0.154322,0.353664,0.170872,-0.011365,0.032597,-0.352089,-0.838219
unsklab,3.771926,-14.604215,4.071865,3.171117,0.960608,4.640946,1.574148,2.571013,2.218521,2.149047,1.714342,2.227314,1.801576,2.423156,0.739326,1.259739,-0.643265,0.471778,-0.190247,-0.704488,-0.770382,-0.877905,-0.120649,-0.694275,-0.408694,-0.248234,-0.668788,-0.231336,0.004868,-1.699465,-0.884038,-0.76204,-1.247887,-1.319334,-1.120981,-1.570074,-0.402211,-1.476444,-1.130537,-0.287617,-0.699624,-0.691071,-1.180664,-1.072021,-1.046797,-1.610065,-1.834546,-0.914278,-1.168356,-0.996611,-1.235042,-1.125697,-0.680385,-1.088769,-1.494979,-1.397073,-2.251961,-2.59142
sklab,4.004879,-14.412513,4.305491,3.402722,1.18725,4.87585,1.802167,2.80127,2.447987,2.378357,1.942676,2.4568,1.974457,2.597093,0.910403,1.4317,-0.474536,0.642401,0.76266,0.24351,0.176987,0.068437,0.832923,0.253821,0.542128,0.704119,0.398728,0.840881,1.079624,-0.643026,0.181165,0.304474,-0.186595,-0.25881,-0.058325,-0.512244,0.668169,-0.417608,-0.067984,0.783995,0.36756,0.376206,-0.118649,-0.008839,0.016657,-0.434478,-0.425383,0.508095,0.250371,0.424581,-0.173612,-0.063092,0.387006,-0.025767,-0.436342,-0.337384,-1.20146,-1.761501
capital,0.311642,-17.451745,0.601579,-0.269133,-2.405933,1.151684,-1.812852,-0.849227,-1.189965,-1.257123,-1.677332,-1.181465,-1.882907,-1.283824,-1.101281,-0.590376,-2.45861,-1.36394,0.067681,-0.447889,-0.513953,-0.621755,0.137459,-0.437649,-0.15133,0.009544,-0.093023,0.346965,0.584538,-1.129674,-0.30952,-0.186815,-0.675479,-0.74734,-0.547837,-0.999533,0.175099,-0.905361,-0.557449,0.290358,-0.124038,-0.115435,-0.607866,-0.498593,-0.473222,-0.722693,-1.104727,-0.177617,-0.433583,-0.260562,-0.964779,-0.855135,-0.408605,-0.818105,-1.225427,-1.127253,-1.984481,-2.6071
natres,0.006071,-0.067369,0.007159,0.003882,-0.004281,0.009214,-0.001998,0.001683,0.000386,0.000129,-0.001478,0.000418,-0.004565,-0.001537,-0.000618,0.001946,-0.007493,-0.001941,0.004972,0.004512,0.004452,0.004356,0.005035,0.004521,0.004777,0.004921,0.004839,0.005187,0.005375,0.004012,0.004667,0.004764,0.004375,0.004318,0.004477,0.004116,0.005051,0.004191,0.004469,0.005143,0.004814,0.004821,0.004429,0.004516,0.004536,0.004395,0.004253,0.004808,0.004655,0.004758,0.004144,0.004231,0.004588,0.004261,0.003935,0.004014,0.003323,0.002272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfe,pdr,wht,gro,v_f,osd,c_b,pfb,ocr,ctl,oap,rmk,wol,frs,fsh,coa,oil,gas,omn,cmt,omt,vol,mil,pcr,sgr,ofd,b_t,tex,wap,lea,lum,ppp,p_c,crp,nmm,i_s,nfm,fmp,mvh,otn,ele,ome,omf,ely,gdt,wtr,cns,trd,otp,wtp,atp,cmn,ofi,isr,obs,ros,osg,dwe,cgds
land,0.748017,-21.461918,1.050295,-0.059614,-2.680108,1.750945,-2.190709,-0.774987,-1.164395,-1.255086,-1.886211,-1.175131,-2.516254,-1.480554,-1.233423,-0.568051,-3.002693,-1.511913,0.939286,0.408993,0.542793,0.359605,1.023666,0.568673,0.705937,0.896169,0.772492,1.129817,1.226739,-0.076689,0.666064,0.795354,0.379284,0.495885,0.468761,0.17995,0.950377,0.339366,0.494323,0.999464,0.67632,0.749051,0.477538,0.547268,0.569174,0.708406,0.401718,0.947034,0.883188,0.946955,0.221577,0.230887,0.545906,0.298995,0.026764,0.119738,-0.42827,-0.994395
unsklab,6.08279,-22.571226,6.485357,5.008769,1.539783,7.419694,2.185792,4.059352,3.543302,3.423194,2.588161,3.529083,2.51237,3.820706,1.101733,1.919607,-1.067676,0.75974,-0.285735,-1.393047,-1.114274,-1.495842,-0.108937,-1.060303,-0.773799,-0.376013,-1.259539,-0.466499,-0.250783,-3.130013,-1.495058,-1.208905,-2.128129,-1.871005,-1.930852,-2.566822,-0.865186,-2.216068,-1.874453,-0.756213,-1.472376,-1.311438,-1.911489,-1.757578,-1.709199,-2.030114,-2.841752,-1.421059,-1.588062,-1.421265,-2.002501,-1.981926,-1.284323,-1.831336,-2.432481,-2.227407,-3.4327,-3.568629
sklab,6.470204,-22.288457,6.874242,5.392261,1.910606,7.81199,2.558974,4.439377,3.921442,3.800895,2.962813,3.907171,2.795534,4.107483,1.381,2.201133,-0.794402,1.038062,1.266529,0.141979,0.425092,0.037584,1.446079,0.479903,0.770867,1.174845,0.471379,1.278321,1.497818,-1.431885,0.231731,0.5229,-0.412438,-0.150806,-0.211703,-0.858821,0.872644,-0.501918,-0.154315,0.983528,0.25481,0.41857,-0.192,-0.035391,0.013836,-0.120033,-0.564235,0.889761,0.718844,0.889551,-0.284608,-0.263672,0.44616,-0.110442,-0.722125,-0.513456,-1.739878,-2.22942
capital,0.470121,-26.667856,0.85139,-0.547074,-3.832522,1.736292,-3.220692,-1.446259,-1.935006,-2.04876,-2.839612,-1.948473,-3.358507,-2.1251,-1.830409,-1.036255,-3.936901,-2.162483,-0.023123,-1.133352,-0.853844,-1.236417,0.15414,-0.799731,-0.512473,-0.113639,-0.515304,0.283714,0.501056,-2.399877,-0.752598,-0.464288,-1.390441,-1.131379,-1.191677,-1.83244,-0.117979,-1.479042,-1.134853,-0.008184,-0.729746,-0.567594,-1.172168,-1.017097,-0.968354,-0.808929,-1.914663,-0.480413,-0.649009,-0.480621,-1.740228,-1.719598,-1.020128,-1.568605,-2.171359,-1.965736,-3.174255,-3.718143
natres,0.010054,-0.108566,0.011481,0.006218,-0.006444,0.014775,-0.004054,0.002794,0.00092,0.000483,-0.002573,0.000869,-0.00872,-0.002411,-0.000916,0.003093,-0.011707,-0.002601,0.008289,0.007293,0.007545,0.0072,0.008447,0.007593,0.007851,0.008208,0.007901,0.008535,0.008707,0.006384,0.007711,0.007941,0.0072,0.007408,0.00736,0.006844,0.008217,0.007129,0.007405,0.008304,0.007729,0.007859,0.007375,0.0075,0.007539,0.007731,0.007162,0.008026,0.007925,0.008025,0.006918,0.006935,0.007497,0.007056,0.006569,0.006736,0.005752,0.004523
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfe,pdr,wht,gro,v_f,osd,c_b,pfb,ocr,ctl,oap,rmk,wol,frs,fsh,coa,oil,gas,omn,cmt,omt,vol,mil,pcr,sgr,ofd,b_t,tex,wap,lea,lum,ppp,p_c,crp,nmm,i_s,nfm,fmp,mvh,otn,ele,ome,omf,ely,gdt,wtr,cns,trd,otp,wtp,atp,cmn,ofi,isr,obs,ros,osg,dwe,cgds
land,0.823917,-23.255468,1.143296,-0.071222,-2.923391,1.911568,-2.434725,-0.852412,-1.27062,-1.370292,-2.078493,-1.286774,-2.804245,-1.624491,-1.355503,-0.628446,-3.279571,-1.648508,1.047549,0.44272,0.621679,0.402963,1.14555,0.644448,0.780363,1.0001,0.849008,1.248971,1.341559,-0.104067,0.740192,0.888369,0.421974,0.576847,0.518377,0.207847,1.040959,0.397957,0.551838,1.089943,0.730548,0.822192,0.538104,0.612773,0.637743,0.830462,0.464099,1.059956,1.005039,1.06861,0.257981,0.256028,0.600788,0.337387,0.04236,0.147368,-0.43869,-1.02822
unsklab,6.674414,-24.452583,7.101817,5.478422,1.686603,8.131401,2.334196,4.436987,3.880348,3.747774,2.806824,3.858859,2.679227,4.176611,1.186752,2.082364,-1.17699,0.826192,-0.309587,-1.570363,-1.198203,-1.652942,-0.104503,-1.150801,-0.867587,-0.408801,-1.410739,-0.524869,-0.319167,-3.503898,-1.650989,-1.323755,-2.351696,-2.011018,-2.139713,-2.821623,-0.986141,-2.404466,-2.066075,-0.877626,-1.672267,-1.469975,-2.096304,-1.931897,-1.876883,-2.135555,-3.09468,-1.546665,-1.689983,-1.52407,-2.19577,-2.200076,-1.43836,-2.020618,-2.670503,-2.439469,-3.724993,-3.815599
sklab,7.102458,-24.14944,7.531576,5.901667,2.094633,8.565292,2.744825,4.856054,4.297181,4.164075,3.219349,4.275605,2.990845,4.492774,1.49384,2.392171,-0.877076,1.132186,1.396547,0.114194,0.492723,0.030202,1.605141,0.540936,0.828998,1.295635,0.489482,1.392426,1.602092,-1.644022,0.244601,0.578142,-0.469612,-0.122368,-0.253544,-0.948596,0.922263,-0.523399,-0.178486,1.03287,0.222913,0.429103,-0.209297,-0.041722,0.014353,-0.03749,-0.596363,0.991561,0.844549,1.014739,-0.310681,-0.315069,0.461328,-0.132153,-0.794563,-0.559077,-1.869378,-2.347178
capital,0.503969,-28.822526,0.906649,-0.622843,-4.195329,1.876678,-3.585195,-1.604037,-2.128479,-2.253384,-3.139906,-2.148725,-3.745835,-2.342149,-2.02163,-1.154416,-4.310424,-2.370757,-0.056582,-1.320557,-0.947453,-1.403345,0.149023,-0.899931,-0.615997,-0.156047,-0.636388,0.25644,0.463757,-2.745988,-0.878525,-0.548721,-1.584736,-1.241382,-1.371089,-2.058354,-0.208456,-1.637921,-1.296872,-0.099088,-0.899971,-0.69609,-1.327338,-1.16164,-1.106194,-0.843853,-2.134752,-0.571403,-0.71614,-0.548583,-1.947579,-1.951895,-1.188247,-1.771982,-2.423516,-2.191896,-3.480682,-4.007648
natres,0.011067,-0.118909,0.012575,0.006817,-0.006982,0.016181,-0.00459,0.003077,0.001063,0.000581,-0.002853,0.000985,-0.009833,-0.00263,-0.001,0.003384,-0.012759,-0.002776,0.009148,0.008013,0.00835,0.007938,0.009332,0.008392,0.008648,0.00906,0.008693,0.009403,0.009567,0.006992,0.0085,0.008763,0.007933,0.008209,0.008105,0.00755,0.009034,0.00789,0.008165,0.009121,0.008483,0.008646,0.00814,0.008273,0.008318,0.008596,0.007918,0.008861,0.008774,0.008874,0.00764,0.007636,0.008252,0.007782,0.007254,0.007442,0.00639,0.005112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qfe,pdr,wht,gro,v_f,osd,c_b,pfb,ocr,ctl,oap,rmk,wol,frs,fsh,coa,oil,gas,omn,cmt,omt,vol,mil,pcr,sgr,ofd,b_t,tex,wap,lea,lum,ppp,p_c,crp,nmm,i_s,nfm,fmp,mvh,otn,ele,ome,omf,ely,gdt,wtr,cns,trd,otp,wtp,atp,cmn,ofi,isr,obs,ros,osg,dwe,cgds
land,1.054705,-28.414281,1.421942,-0.106699,-3.655935,2.396676,-3.179047,-1.0914,-1.591694,-1.717685,-2.66206,-1.626694,-3.696919,-2.061058,-1.730027,-0.812672,-4.108637,-2.065876,1.39048,0.554471,0.87876,0.546766,1.531526,0.889777,1.017385,1.328758,1.094208,1.626794,1.701744,-0.189699,0.977747,1.18292,0.56416,0.835623,0.678912,0.303446,1.326698,0.58803,0.736665,1.37647,0.905074,1.056908,0.735439,0.824388,0.859269,1.215766,0.669185,1.420203,1.393581,1.456924,0.382764,0.344692,0.780652,0.466377,0.101974,0.242538,-0.452639,-1.119889
unsklab,8.486967,-29.842704,8.985653,6.913004,2.1331,10.311599,2.772679,5.582295,4.907542,4.73776,3.466976,4.860372,3.155504,5.261772,1.429737,2.567018,-1.509195,1.013903,-0.382032,-2.115351,-1.444902,-2.131251,-0.088015,-1.422083,-1.157565,-0.510552,-1.871511,-0.699296,-0.533711,-4.665507,-2.126807,-1.676795,-3.030438,-2.437856,-2.780188,-3.597663,-1.360759,-2.978412,-2.654106,-1.251224,-2.285926,-1.953317,-2.656784,-2.46242,-2.386142,-2.456259,-3.858006,-1.923727,-1.992707,-1.828532,-2.779815,-2.863126,-1.906743,-2.596708,-3.393324,-3.086471,-4.598763,-4.565106
